"symbol","last_price","week_52_high","week_52_high_date","date1","TTL_TRD_QNTY"
"ABBOTINDIA","7270","7359","2018-06-21","2018-06-21","9237"
"ABBOTINDIA","7400","7448","2018-06-22","2018-06-22","6583"
"ABBOTINDIA","7643.5","7760","2018-06-25","2018-06-25","24283"
"ABBOTINDIA","7470.2","7850","2018-06-26","2018-06-26","12496"
"ASTEC","760","783","2018-06-12","2018-06-12","86188"
"ASTRAL","1024.95","1064.75","2018-06-26","2018-06-26","53918"
"ASTRAZEN","1325","1395","2018-06-11","2018-06-11","230360"
"ASTRAZEN","1420","1436.95","2018-06-18","2018-06-18","599882"
"ASTRAZEN","1433","1514.9","2018-06-19","2018-06-19","564630"
"ASTRAZEN","1495","1528.8","2018-06-25","2018-06-25","207142"
"BAJAJFINSV","6179","6190","2018-06-22","2018-06-22","242597"
"BAJAJFINSV","6174","6293.6","2018-06-25","2018-06-25","262420"
"BAJAJHLDNG","3104","3156.25","2018-06-18","2018-06-18","72721"
"BAJAJHLDNG","3201","3242","2018-06-21","2018-06-21","81188"
"BAJAJHLDNG","3107.1","3248","2018-06-25","2018-06-25","31627"
"BAJFINANCE","2167","2197.2","2018-06-07","2018-06-07","1489413"
"BAJFINANCE","2210","2219.95","2018-06-08","2018-06-08","3039595"
"BAJFINANCE","2250","2258.5","2018-06-11","2018-06-11","2059581"
"BAJFINANCE","2263","2277","2018-06-12","2018-06-12","1655167"
"BAJFINANCE","2279","2291.55","2018-06-15","2018-06-15","1637500"
"BAJFINANCE","2239.65","2296","2018-06-18","2018-06-18","1126877"
"BAJFINANCE","2268.7","2302.1","2018-06-20","2018-06-20","1127273"
"BAJFINANCE","2342","2342","2018-06-22","2018-06-22","1714224"
"BAJFINANCE","2385.05","2399","2018-06-25","2018-06-25","2393535"
"BAJFINANCE","2367","2419.15","2018-06-26","2018-06-26","2337942"
"BANDHANBNK","545","560","2018-06-14","2018-06-14","3171005"
"BANG","47.3","49.9","2018-06-25","2018-06-25","61807"
"BATAINDIA","825.25","833.8","2018-06-19","2018-06-19","4125860"
"BATAINDIA","843.95","844.8","2018-06-20","2018-06-20","2360155"
"BATAINDIA","834","847.85","2018-06-21","2018-06-21","1345320"
"BATAINDIA","848.55","849","2018-06-26","2018-06-26","1967427"
"BATAINDIA","836.1","858.9","2018-06-27","2018-06-27","1847582"
"BAYERCROP","4700","4800","2018-06-04","2018-06-07","4450"
"BHARATFIN","1184.9","1196","2018-06-12","2018-06-12","1134932"
