"symbol","company_name","date","current_price"
"SOLARA","Solara Active Pharma Sciences Limited","2018-06-29","227.25"
"SHIVAMAUTO","Shivam Autotech Limited","2018-06-29","58.8"
"UNIPLY","Uniply Industries Limited","2018-06-29","81"
"PEARLPOLY","Pearl Polymers Limited","2018-06-29","15.25"
"KOLTEPATIL","Kolte - Patil Developers Limited","2018-06-29","275.85"
"PATINTLOG","Patel Integrated Logistics Limited","2018-06-29","53.15"
"CORDSCABLE","Cords Cable Industries Limited","2018-06-29","58.2"
"RELDIVOPP","Reliance ETF Dividend Opportunities","2018-06-29","28.7"
"ZENITHEXPO","Zenith Exports Limited","2018-06-29","103.3"
"FEDDERELEC","Fedders Electric and Engineering Limited","2018-06-29","29.7"
"MAHINDCIE","Mahindra CIE Automotive Limited","2018-06-29","259"
"APLAPOLLO","APL Apollo Tubes Limited","2018-06-29","1660"
"GANECOS","Ganesha Ecosphere Limited","2018-06-29","364.65"
"SUNDARMHLD","Sundaram Finance Holdings Limited","2018-06-29","120.8"
"MRO-TEK","MRO-TEK Realty Limited","2018-06-29","44.25"
"RELIGARE","Religare Enterprises Limited","2018-06-29","51.5"
"FSC","Future Supply Chain Solutions Limited","2018-06-29","669.9"
"KWALITY","kwality limited","2018-06-29","22.8"
"BIGBLOC","Bigbloc Construction Limited","2018-06-29","92.4"
"AMJLAND","Amj Land Holdings Limited","2018-06-29","29.5"
"FINPIPE","Finolex Industries Limited","2018-06-29","577"
"MANGLMCEM","Mangalam Cement Limited","2018-06-29","234.1"
"M50","Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF","2018-06-29","100.05"
"TITAN","Titan Company Limited","2018-06-28","834.55"
"PGEL","PG Electroplast Limited","2018-06-28","192.5"
"IDFCBANK","IDFC Bank Limited","2018-06-28","39.25"
"LOTUSEYE","Lotus Eye Hospital and Institute Limited","2018-06-28","22.5"
"TECHNOFAB","Technofab Engineering Limited","2018-06-28","165"
"V2RETAIL","V2 Retail Limited","2018-06-28","405.75"
"IEX","Indian Energy Exchange Limited","2018-06-28","1582.5"
"IFGLEXPOR","IFGL Refractories Limited","2018-06-28","196"
"GPPL","Gujarat Pipavav Port Limited","2018-06-28","104.6"
"IDFC","IDFC Limited","2018-06-28","46.3"
"KHANDSE","Khandwala Securities Limited","2018-06-28","14.7"
"ZODIACLOTH","Zodiac Clothing Company Limited","2018-06-28","149.25"
"CONTROLPR","Control Print Limited","2018-06-28","385"
"CASTROLIND","Castrol India Limited","2018-06-28","169"
"MERCATOR","Mercator Limited","2018-06-28","21.25"
"UTTAMSUGAR","Uttam Sugar Mills Limited","2018-06-28","72.9"
"MRPL","Mangalore Refinery and Petrochemicals Limited","2018-06-28","79.75"
"GPTINFRA","GPT Infraprojects Limited","2018-06-28","140.9"
"SASTASUNDR","Sastasundar Ventures Limited","2018-06-28","78.3"
"MAITHANALL","Maithan Alloys Limited","2018-06-28","573"
